,dataset,filename,actor,emotion,length,gender,set
26,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_318_chunk1.wav,1,angry,6.312018,male,train
27,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_318_chunk2.wav,2,angry,9.6,male,train
28,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_318_chunk3.wav,3,angry,7.607982,male,train
29,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_318_chunk4.wav,4,angry,10.56,male,train
30,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_318_chunk5.wav,5,angry,1.583991,male,test
31,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_318_chunk6.wav,6,angry,1.56,male,train
32,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_318_chunk7.wav,7,angry,2.543991,male,train
33,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_318_chunk8.wav,8,angry,2.256009,male,train
34,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_319_chunk1.wav,9,angry,3.312018,male,train
35,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_319_chunk2.wav,10,angry,7.583991,male,train
36,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_319_chunk3.wav,11,angry,1.583991,male,train
37,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_319_chunk4.wav,12,angry,10.272018,male,train
38,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_320_chunk1.wav,13,angry,1.32,male,train
39,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_320_chunk2.wav,14,angry,14.28,male,test
40,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_321_chunk1.wav,15,angry,26.303991,male,train
41,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_321_chunk2.wav,16,angry,5.592018,male,train
42,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_321_chunk3.wav,17,angry,12.263991,male,train
43,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_322_chunk1.wav,18,angry,7.296009,male,train
44,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_322_chunk2.wav,19,angry,16.607982,male,train
45,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_322_chunk3.wav,20,angry,8.592018,male,train
46,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_322_chunk4.wav,21,angry,56.303991,male,train
47,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_323_chunk1.wav,22,angry,20.04,male,test
48,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_324_chunk1.wav,23,angry,10.032018,male,train
49,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_325_chunk1.wav,24,angry,8.256009,male,train
50,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_326_chunk1.wav,25,angry,8.303991,male,train
51,youtube_audio_negative,vad_tokens/6D4Z2MrhULw_326_chunk2.wav,26,angry,1.247982,male,train
52,youtube_audio_negative,vad_tokens/6ywCIjY-NxU_133_chunk1.wav,27,angry,3.023991,male,train
53,youtube_audio_negative,vad_tokens/6ywCIjY-NxU_134_chunk1.wav,28,angry,3.023991,male,train
54,youtube_audio_negative,vad_tokens/6ywCIjY-NxU_135_chunk1.wav,29,angry,3.023991,male,train
55,youtube_audio_negative,vad_tokens/6ywCIjY-NxU_136_chunk1.wav,30,angry,7.032018,male,test
56,youtube_audio_negative,vad_tokens/6ywCIjY-NxU_137_chunk1.wav,31,angry,10.032018,male,train
57,youtube_audio_negative,vad_tokens/6ywCIjY-NxU_138_chunk1.wav,32,angry,6.023991,male,train
58,youtube_audio_negative,vad_tokens/6ywCIjY-NxU_139_chunk1.wav,33,angry,12.023991,male,train
59,youtube_audio_negative,vad_tokens/8uT-Kkew2aE_130_chunk1.wav,34,angry,9.023991,male,train
60,youtube_audio_negative,vad_tokens/8uT-Kkew2aE_131_chunk1.wav,35,angry,7.032018,male,train
61,youtube_audio_negative,vad_tokens/8uT-Kkew2aE_132_chunk1.wav,36,angry,3.023991,male,train
62,youtube_audio_negative,vad_tokens/9T7m4bj5o48_154_chunk1.wav,37,angry,5.04,male,train
63,youtube_audio_negative,vad_tokens/9T7m4bj5o48_155_chunk1.wav,38,angry,3.023991,male,test
64,youtube_audio_negative,vad_tokens/9YOd7E6zJTs_58_chunk1.wav,39,angry,5.04,male,train
65,youtube_audio_negative,vad_tokens/9YOd7E6zJTs_59_chunk1.wav,40,angry,11.04,male,train
66,youtube_audio_negative,vad_tokens/9YOd7E6zJTs_60_chunk1.wav,41,angry,6.312018,male,train
67,youtube_audio_negative,vad_tokens/9YOd7E6zJTs_60_chunk2.wav,42,angry,1.247982,male,train
68,youtube_audio_negative,vad_tokens/bLkrnyCeDw4_29_chunk1.wav,43,angry,3.317551,male,train
69,youtube_audio_negative,vad_tokens/bLkrnyCeDw4_29_chunk2.wav,44,angry,22.569796,male,train
70,youtube_audio_negative,vad_tokens/bLkrnyCeDw4_29_chunk3.wav,45,angry,29.570612,male,train
71,youtube_audio_negative,vad_tokens/bLkrnyCeDw4_29_chunk4.wav,46,angry,6.269388,male,train
72,youtube_audio_negative,vad_tokens/bQp_LaQEEjQ_439_chunk1.wav,47,angry,46.032018,male,train
73,youtube_audio_negative,vad_tokens/bQp_LaQEEjQ_440_chunk1.wav,48,angry,52.032018,male,train
74,youtube_audio_negative,vad_tokens/bQp_LaQEEjQ_441_chunk1.wav,49,angry,25.032018,male,train
75,youtube_audio_negative,vad_tokens/bQp_LaQEEjQ_442_chunk1.wav,50,angry,26.04,male,test
76,youtube_audio_negative,vad_tokens/bQp_LaQEEjQ_443_chunk1.wav,51,angry,18.023991,male,train
77,youtube_audio_negative,vad_tokens/bQstHE4eu10_207_chunk1.wav,52,angry,23.04,male,train
78,youtube_audio_negative,vad_tokens/bQstHE4eu10_208_chunk1.wav,53,angry,12.312018,male,test
79,youtube_audio_negative,vad_tokens/bQstHE4eu10_208_chunk2.wav,54,angry,14.232018,male,train
80,youtube_audio_negative,vad_tokens/bQstHE4eu10_209_chunk1.wav,55,angry,45.023991,male,test
81,youtube_audio_negative,vad_tokens/bQstHE4eu10_210_chunk1.wav,56,angry,95.04,male,train
82,youtube_audio_negative,vad_tokens/bQstHE4eu10_211_chunk1.wav,57,angry,23.04,male,train
83,youtube_audio_negative,vad_tokens/bQstHE4eu10_212_chunk1.wav,58,angry,8.04,male,test
84,youtube_audio_negative,vad_tokens/C0b8XDPaPl8_193_chunk1.wav,59,angry,104.306939,male,train
85,youtube_audio_negative,vad_tokens/C7olEzqPzHs_456_chunk1.wav,60,angry,2.543991,male,test
86,youtube_audio_negative,vad_tokens/C7olEzqPzHs_456_chunk2.wav,61,angry,1.247982,male,train
87,youtube_audio_negative,vad_tokens/C7olEzqPzHs_457_chunk1.wav,62,angry,6.287982,male,train
88,youtube_audio_negative,vad_tokens/C7olEzqPzHs_457_chunk2.wav,63,angry,1.247982,male,test
89,youtube_audio_negative,vad_tokens/C7olEzqPzHs_458_chunk1.wav,64,angry,2.303991,male,train
90,youtube_audio_negative,vad_tokens/C7olEzqPzHs_458_chunk2.wav,65,angry,5.567982,male,train
91,youtube_audio_negative,vad_tokens/C7olEzqPzHs_458_chunk3.wav,66,angry,8.567982,male,train
92,youtube_audio_negative,vad_tokens/C7olEzqPzHs_458_chunk4.wav,67,angry,2.256009,male,train
93,youtube_audio_negative,vad_tokens/C7olEzqPzHs_459_chunk1.wav,68,angry,27.023991,male,train
94,youtube_audio_negative,vad_tokens/C7olEzqPzHs_460_chunk1.wav,69,angry,39.287982,male,train
95,youtube_audio_negative,vad_tokens/C7olEzqPzHs_461_chunk1.wav,70,angry,6.552018,male,test
96,youtube_audio_negative,vad_tokens/C7olEzqPzHs_461_chunk2.wav,71,angry,2.567982,male,test
97,youtube_audio_negative,vad_tokens/C7olEzqPzHs_461_chunk3.wav,72,angry,2.567982,male,train
98,youtube_audio_negative,vad_tokens/C7olEzqPzHs_461_chunk4.wav,73,angry,3.263991,male,train
99,youtube_audio_negative,vad_tokens/C7olEzqPzHs_462_chunk1.wav,74,angry,7.536009,male,train
100,youtube_audio_negative,vad_tokens/C7olEzqPzHs_462_chunk2.wav,75,angry,2.543991,male,train
101,youtube_audio_negative,vad_tokens/C7olEzqPzHs_462_chunk3.wav,76,angry,4.56,male,train
102,youtube_audio_negative,vad_tokens/C7olEzqPzHs_462_chunk4.wav,77,angry,9.552018,male,train
103,youtube_audio_negative,vad_tokens/C7olEzqPzHs_463_chunk1.wav,78,angry,27.287982,male,train
104,youtube_audio_negative,vad_tokens/C7olEzqPzHs_463_chunk2.wav,79,angry,12.24,male,train
105,youtube_audio_negative,vad_tokens/C7olEzqPzHs_464_chunk1.wav,80,angry,1.32,male,train
106,youtube_audio_negative,vad_tokens/C7olEzqPzHs_464_chunk2.wav,81,angry,3.287982,male,train
107,youtube_audio_negative,vad_tokens/C7olEzqPzHs_465_chunk1.wav,82,angry,5.303991,male,train
108,youtube_audio_negative,vad_tokens/C7olEzqPzHs_465_chunk2.wav,83,angry,1.56,male,train
109,youtube_audio_negative,vad_tokens/C7olEzqPzHs_465_chunk3.wav,84,angry,8.567982,male,train
110,youtube_audio_negative,vad_tokens/C7olEzqPzHs_465_chunk4.wav,85,angry,9.263991,male,train
111,youtube_audio_negative,vad_tokens/C7olEzqPzHs_466_chunk1.wav,86,angry,10.536009,male,train
112,youtube_audio_negative,vad_tokens/C7olEzqPzHs_466_chunk2.wav,87,angry,7.56,male,train
113,youtube_audio_negative,vad_tokens/C7olEzqPzHs_466_chunk3.wav,88,angry,3.552018,male,test
114,youtube_audio_negative,vad_tokens/C7olEzqPzHs_466_chunk4.wav,89,angry,2.543991,male,test
115,youtube_audio_negative,vad_tokens/C7olEzqPzHs_466_chunk5.wav,90,angry,2.543991,male,train
116,youtube_audio_negative,vad_tokens/C7olEzqPzHs_466_chunk6.wav,91,angry,2.543991,male,test
117,youtube_audio_negative,vad_tokens/C7olEzqPzHs_466_chunk7.wav,92,angry,4.56,male,train
118,youtube_audio_negative,vad_tokens/C7olEzqPzHs_466_chunk8.wav,93,angry,13.56,male,test
119,youtube_audio_negative,vad_tokens/C7olEzqPzHs_466_chunk9.wav,94,angry,12.24,male,train
120,youtube_audio_negative,vad_tokens/CFkKTWnZkJ0_357_chunk1.wav,95,angry,8.045034,male,train
121,youtube_audio_negative,vad_tokens/CFkKTWnZkJ0_358_chunk1.wav,96,angry,7.026032,male,train
122,youtube_audio_negative,vad_tokens/cUiLREb1Gmo_436_chunk1.wav,97,angry,3.030023,male,train
123,youtube_audio_negative,vad_tokens/cUiLREb1Gmo_437_chunk1.wav,98,angry,16.039002,male,train
124,youtube_audio_negative,vad_tokens/C_vPiEigpI4_202_chunk1.wav,99,angry,20.04,male,train
125,youtube_audio_negative,vad_tokens/C_vPiEigpI4_203_chunk1.wav,100,angry,28.296009,male,train
126,youtube_audio_negative,vad_tokens/C_vPiEigpI4_203_chunk2.wav,101,angry,41.567982,male,test
127,youtube_audio_negative,vad_tokens/C_vPiEigpI4_203_chunk3.wav,102,angry,4.56,male,train
128,youtube_audio_negative,vad_tokens/C_vPiEigpI4_203_chunk4.wav,103,angry,4.247982,male,train
129,youtube_audio_negative,vad_tokens/D9ReQq92YXM_84_chunk1.wav,104,angry,43.296009,male,train
130,youtube_audio_negative,vad_tokens/D9ReQq92YXM_84_chunk2.wav,105,angry,27.263991,male,train
131,youtube_audio_negative,vad_tokens/D9ReQq92YXM_85_chunk1.wav,106,angry,8.04,male,train
132,youtube_audio_negative,vad_tokens/Ddj_cHsyJuU_157_chunk1.wav,107,angry,6.287982,male,train
133,youtube_audio_negative,vad_tokens/Ddj_cHsyJuU_157_chunk2.wav,108,angry,20.543991,male,train
134,youtube_audio_negative,vad_tokens/Ddj_cHsyJuU_157_chunk3.wav,109,angry,12.552018,male,test
135,youtube_audio_negative,vad_tokens/Ddj_cHsyJuU_157_chunk4.wav,110,angry,13.247982,male,test
136,youtube_audio_negative,vad_tokens/Ddj_cHsyJuU_158_chunk1.wav,111,angry,14.04,male,train
137,youtube_audio_negative,vad_tokens/Ddj_cHsyJuU_159_chunk1.wav,112,angry,5.04,male,train
138,youtube_audio_negative,vad_tokens/Ddj_cHsyJuU_160_chunk1.wav,113,angry,6.023991,male,train
139,youtube_audio_negative,vad_tokens/Ddj_cHsyJuU_161_chunk1.wav,114,angry,6.023991,male,train
140,youtube_audio_negative,vad_tokens/Ddj_cHsyJuU_162_chunk1.wav,115,angry,13.296009,male,test
141,youtube_audio_negative,vad_tokens/Ddj_cHsyJuU_162_chunk2.wav,116,angry,4.247982,male,train
142,youtube_audio_negative,vad_tokens/Ddj_cHsyJuU_163_chunk1.wav,117,angry,35.303991,male,train
143,youtube_audio_negative,vad_tokens/Ddj_cHsyJuU_163_chunk2.wav,118,angry,8.256009,male,train
144,youtube_audio_negative,vad_tokens/Ddj_cHsyJuU_164_chunk1.wav,119,angry,16.032018,male,train
145,youtube_audio_negative,vad_tokens/Ddj_cHsyJuU_165_chunk1.wav,120,angry,9.287982,male,test
146,youtube_audio_negative,vad_tokens/Ddj_cHsyJuU_165_chunk2.wav,121,angry,6.24,male,train
147,youtube_audio_negative,vad_tokens/Ddj_cHsyJuU_166_chunk1.wav,122,angry,5.28,male,test
148,youtube_audio_negative,vad_tokens/Ddj_cHsyJuU_166_chunk2.wav,123,angry,4.56,male,train
149,youtube_audio_negative,vad_tokens/Ddj_cHsyJuU_166_chunk3.wav,124,angry,4.247982,male,train
150,youtube_audio_negative,vad_tokens/dqCEKxCd3Mk_373_chunk1.wav,125,angry,19.32,male,train
151,youtube_audio_negative,vad_tokens/dqCEKxCd3Mk_373_chunk2.wav,126,angry,2.256009,male,train
152,youtube_audio_negative,vad_tokens/dqCEKxCd3Mk_374_chunk1.wav,127,angry,13.032018,male,test
153,youtube_audio_negative,vad_tokens/dqCEKxCd3Mk_375_chunk1.wav,128,angry,5.04,male,train
154,youtube_audio_negative,vad_tokens/dqCEKxCd3Mk_376_chunk1.wav,129,angry,28.032018,male,train
155,youtube_audio_negative,vad_tokens/dqCEKxCd3Mk_377_chunk1.wav,130,angry,20.303991,male,train
156,youtube_audio_negative,vad_tokens/dqCEKxCd3Mk_377_chunk2.wav,131,angry,2.256009,male,train
157,youtube_audio_negative,vad_tokens/dqCEKxCd3Mk_378_chunk1.wav,132,angry,10.032018,male,train
158,youtube_audio_negative,vad_tokens/dqCEKxCd3Mk_379_chunk1.wav,133,angry,42.023991,male,train
159,youtube_audio_negative,vad_tokens/dqCEKxCd3Mk_380_chunk1.wav,134,angry,6.312018,male,train
160,youtube_audio_negative,vad_tokens/dqCEKxCd3Mk_380_chunk2.wav,135,angry,11.543991,male,train
161,youtube_audio_negative,vad_tokens/dqCEKxCd3Mk_380_chunk3.wav,136,angry,16.247982,male,train
162,youtube_audio_negative,vad_tokens/dqCEKxCd3Mk_381_chunk1.wav,137,angry,18.312018,male,train
163,youtube_audio_negative,vad_tokens/dqCEKxCd3Mk_381_chunk2.wav,138,angry,15.24,male,train
164,youtube_audio_negative,vad_tokens/dqCEKxCd3Mk_382_chunk1.wav,139,angry,12.312018,male,test
165,youtube_audio_negative,vad_tokens/DTJPVXv7orQ_215_chunk1.wav,140,angry,18.312018,male,train
166,youtube_audio_negative,vad_tokens/DTJPVXv7orQ_215_chunk2.wav,141,angry,5.567982,male,train
167,youtube_audio_negative,vad_tokens/DTJPVXv7orQ_215_chunk3.wav,142,angry,3.263991,male,test
168,youtube_audio_negative,vad_tokens/DTJPVXv7orQ_216_chunk1.wav,143,angry,63.312018,male,test
169,youtube_audio_negative,vad_tokens/DTJPVXv7orQ_216_chunk2.wav,144,angry,13.56,male,test
170,youtube_audio_negative,vad_tokens/DTJPVXv7orQ_216_chunk3.wav,145,angry,5.543991,male,train
171,youtube_audio_negative,vad_tokens/DTJPVXv7orQ_216_chunk4.wav,146,angry,3.287982,male,train
172,youtube_audio_negative,vad_tokens/dU3dpC8EPRI_189_chunk1.wav,147,angry,68.04,male,train
173,youtube_audio_negative,vad_tokens/dU3dpC8EPRI_190_chunk1.wav,148,angry,31.32,male,train
174,youtube_audio_negative,vad_tokens/dU3dpC8EPRI_190_chunk2.wav,149,angry,3.552018,male,train
175,youtube_audio_negative,vad_tokens/dU3dpC8EPRI_190_chunk3.wav,150,angry,15.24,male,test
176,youtube_audio_negative,vad_tokens/DYWixlvDj5w_279_chunk1.wav,151,angry,8.306939,male,train
177,youtube_audio_negative,vad_tokens/DYWixlvDj5w_279_chunk2.wav,152,angry,1.541224,male,train
178,youtube_audio_negative,vad_tokens/DYWixlvDj5w_279_chunk3.wav,153,angry,1.541224,male,train
179,youtube_audio_negative,vad_tokens/DYWixlvDj5w_279_chunk4.wav,154,angry,10.527347,male,train
180,youtube_audio_negative,vad_tokens/DYWixlvDj5w_279_chunk5.wav,155,angry,10.501224,male,train
181,youtube_audio_negative,vad_tokens/DYWixlvDj5w_279_chunk6.wav,156,angry,16.509388,male,train
182,youtube_audio_negative,vad_tokens/DYWixlvDj5w_279_chunk7.wav,157,angry,1.515102,male,train
183,youtube_audio_negative,vad_tokens/DYWixlvDj5w_279_chunk8.wav,158,angry,12.225306,male,train
184,youtube_audio_negative,vad_tokens/DYWixlvDj5w_280_chunk1.wav,159,angry,6.321633,male,train
185,youtube_audio_negative,vad_tokens/DYWixlvDj5w_280_chunk2.wav,160,angry,1.515102,male,train
186,youtube_audio_negative,vad_tokens/DYWixlvDj5w_280_chunk3.wav,161,angry,5.511837,male,train
187,youtube_audio_negative,vad_tokens/DYWixlvDj5w_280_chunk4.wav,162,angry,13.531429,male,train
188,youtube_audio_negative,vad_tokens/DYWixlvDj5w_280_chunk5.wav,163,angry,2.533878,male,train
189,youtube_audio_negative,vad_tokens/DYWixlvDj5w_280_chunk6.wav,164,angry,3.526531,male,test
190,youtube_audio_negative,vad_tokens/DYWixlvDj5w_280_chunk7.wav,165,angry,1.541224,male,train
191,youtube_audio_negative,vad_tokens/DYWixlvDj5w_280_chunk8.wav,166,angry,3.526531,male,train
192,youtube_audio_negative,vad_tokens/DYWixlvDj5w_280_chunk9.wav,167,angry,4.519184,male,train
193,youtube_audio_negative,vad_tokens/DYWixlvDj5w_280_chunk10.wav,168,angry,8.515918,male,test
194,youtube_audio_negative,vad_tokens/DYWixlvDj5w_280_chunk11.wav,169,angry,5.22449,male,train
195,youtube_audio_negative,vad_tokens/EdBx37ZABJE_300_chunk1.wav,170,angry,19.32,male,train
196,youtube_audio_negative,vad_tokens/EdBx37ZABJE_300_chunk2.wav,171,angry,3.552018,male,train
197,youtube_audio_negative,vad_tokens/EdBx37ZABJE_300_chunk3.wav,172,angry,6.552018,male,train
198,youtube_audio_negative,vad_tokens/EdBx37ZABJE_300_chunk4.wav,173,angry,1.56,male,train
199,youtube_audio_negative,vad_tokens/EdBx37ZABJE_301_chunk1.wav,174,angry,41.303991,male,train
200,youtube_audio_negative,vad_tokens/EdBx37ZABJE_301_chunk2.wav,175,angry,7.583991,male,train
201,youtube_audio_negative,vad_tokens/EdBx37ZABJE_301_chunk3.wav,176,angry,15.576009,male,train
202,youtube_audio_negative,vad_tokens/EdBx37ZABJE_301_chunk4.wav,177,angry,39.552018,male,train
203,youtube_audio_negative,vad_tokens/EdBx37ZABJE_301_chunk5.wav,178,angry,10.536009,male,train
204,youtube_audio_negative,vad_tokens/EdBx37ZABJE_301_chunk6.wav,179,angry,2.543991,male,train
205,youtube_audio_negative,vad_tokens/EdBx37ZABJE_301_chunk7.wav,180,angry,2.543991,male,train
206,youtube_audio_negative,vad_tokens/EdBx37ZABJE_301_chunk8.wav,181,angry,4.536009,male,train
207,youtube_audio_negative,vad_tokens/EdBx37ZABJE_301_chunk9.wav,182,angry,3.552018,male,train
208,youtube_audio_negative,vad_tokens/EdBx37ZABJE_301_chunk10.wav,183,angry,4.536009,male,train
209,youtube_audio_negative,vad_tokens/EdBx37ZABJE_301_chunk11.wav,184,angry,1.56,male,train
210,youtube_audio_negative,vad_tokens/EdBx37ZABJE_301_chunk12.wav,185,angry,2.543991,male,train
211,youtube_audio_negative,vad_tokens/EdBx37ZABJE_301_chunk13.wav,186,angry,1.536009,male,train
212,youtube_audio_negative,vad_tokens/EdBx37ZABJE_301_chunk14.wav,187,angry,4.56,male,test
213,youtube_audio_negative,vad_tokens/EdBx37ZABJE_301_chunk15.wav,188,angry,3.552018,male,train
214,youtube_audio_negative,vad_tokens/EdBx37ZABJE_301_chunk16.wav,189,angry,5.543991,male,train
215,youtube_audio_negative,vad_tokens/EdBx37ZABJE_301_chunk17.wav,190,angry,5.543991,male,train
216,youtube_audio_negative,vad_tokens/EdBx37ZABJE_301_chunk18.wav,191,angry,9.552018,male,train
217,youtube_audio_negative,vad_tokens/EesSW532sP4_281_chunk1.wav,192,angry,14.303991,male,train
218,youtube_audio_negative,vad_tokens/EesSW532sP4_281_chunk2.wav,193,angry,3.24,male,test
219,youtube_audio_negative,vad_tokens/EesSW532sP4_282_chunk1.wav,194,angry,35.04,male,train
220,youtube_audio_negative,vad_tokens/EesSW532sP4_283_chunk1.wav,195,angry,2.303991,male,train
221,youtube_audio_negative,vad_tokens/EesSW532sP4_283_chunk2.wav,196,angry,15.552018,male,train
222,youtube_audio_negative,vad_tokens/EesSW532sP4_283_chunk3.wav,197,angry,9.576009,male,train
223,youtube_audio_negative,vad_tokens/EesSW532sP4_283_chunk4.wav,198,angry,15.263991,male,train
224,youtube_audio_negative,vad_tokens/EesSW532sP4_284_chunk1.wav,199,angry,11.04,male,train
225,youtube_audio_negative,vad_tokens/EesSW532sP4_285_chunk1.wav,200,angry,15.023991,male,train
226,youtube_audio_negative,vad_tokens/EesSW532sP4_286_chunk1.wav,201,angry,92.303991,male,train
227,youtube_audio_negative,vad_tokens/EesSW532sP4_286_chunk2.wav,202,angry,3.552018,male,train
228,youtube_audio_negative,vad_tokens/EesSW532sP4_286_chunk3.wav,203,angry,9.6,male,train
229,youtube_audio_negative,vad_tokens/EesSW532sP4_286_chunk4.wav,204,angry,53.256009,male,train
230,youtube_audio_negative,vad_tokens/EesSW532sP4_287_chunk1.wav,205,angry,29.04,male,train
231,youtube_audio_negative,vad_tokens/erN1lalpCEo_452_chunk1.wav,206,angry,67.296009,male,train
232,youtube_audio_negative,vad_tokens/erN1lalpCEo_452_chunk2.wav,207,angry,12.263991,male,train
233,youtube_audio_negative,vad_tokens/erN1lalpCEo_453_chunk1.wav,208,angry,2.543991,male,train
234,youtube_audio_negative,vad_tokens/erN1lalpCEo_453_chunk2.wav,209,angry,5.543991,male,train
235,youtube_audio_negative,vad_tokens/erN1lalpCEo_453_chunk3.wav,210,angry,2.543991,male,train
236,youtube_audio_negative,vad_tokens/erN1lalpCEo_453_chunk4.wav,211,angry,41.543991,male,train
237,youtube_audio_negative,vad_tokens/erN1lalpCEo_453_chunk5.wav,212,angry,6.263991,male,train
238,youtube_audio_negative,vad_tokens/erN1lalpCEo_454_chunk1.wav,213,angry,25.32,male,train
239,youtube_audio_negative,vad_tokens/erN1lalpCEo_454_chunk2.wav,214,angry,14.567982,male,train
240,youtube_audio_negative,vad_tokens/erN1lalpCEo_454_chunk3.wav,215,angry,3.552018,male,train
241,youtube_audio_negative,vad_tokens/erN1lalpCEo_454_chunk4.wav,216,angry,4.56,male,train
242,youtube_audio_negative,vad_tokens/erN1lalpCEo_454_chunk5.wav,217,angry,4.56,male,train
243,youtube_audio_negative,vad_tokens/erN1lalpCEo_455_chunk1.wav,218,angry,16.536009,male,train
244,youtube_audio_negative,vad_tokens/erN1lalpCEo_455_chunk2.wav,219,angry,30.24,male,train
245,youtube_audio_negative,vad_tokens/F7yYWeGRGhw_467_chunk1.wav,220,angry,3.023991,male,train
246,youtube_audio_negative,vad_tokens/F7yYWeGRGhw_468_chunk1.wav,221,angry,3.023991,male,train
247,youtube_audio_negative,vad_tokens/F7yYWeGRGhw_469_chunk1.wav,222,angry,1.32,male,test
248,youtube_audio_negative,vad_tokens/F7yYWeGRGhw_469_chunk2.wav,223,angry,10.56,male,train
249,youtube_audio_negative,vad_tokens/F7yYWeGRGhw_469_chunk3.wav,224,angry,43.247982,male,train
250,youtube_audio_negative,vad_tokens/F7yYWeGRGhw_470_chunk1.wav,225,angry,10.032018,male,train
251,youtube_audio_negative,vad_tokens/F7yYWeGRGhw_471_chunk1.wav,226,angry,8.303991,male,test
252,youtube_audio_negative,vad_tokens/F7yYWeGRGhw_471_chunk2.wav,227,angry,18.552018,male,train
253,youtube_audio_negative,vad_tokens/F7yYWeGRGhw_471_chunk3.wav,228,angry,4.247982,male,train
254,youtube_audio_negative,vad_tokens/F7yYWeGRGhw_472_chunk1.wav,229,angry,3.312018,male,train
255,youtube_audio_negative,vad_tokens/F7yYWeGRGhw_472_chunk2.wav,230,angry,1.536009,male,train
256,youtube_audio_negative,vad_tokens/F7yYWeGRGhw_472_chunk3.wav,231,angry,5.592018,male,train
257,youtube_audio_negative,vad_tokens/F7yYWeGRGhw_472_chunk4.wav,232,angry,1.536009,male,train
